#Source SSTISAGE1C J052755.24-695829.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.017458	0.0038035	20.047	0.214
0.4747 	0.20209	0.010305	18.276	0.054
0.547 	0.81735	0.037024	16.663	0.0481
0.802 	4.1762	0.16471	 14.5	0.042
1.21 	8.4946	0.22389	13.182	0.029
1.59 	11.768	0.28904	12.349	0.027
2.15 	10.985	0.25005	11.958	0.025
3.6 	7.613	0.3153	11.404	0.045
4.5 	5.275	0.2765	11.33	0.057
5.8 	5.375	0.1841	10.84	0.037
8 	11.59	0.2802	 9.34	0.026
24 	33.39	0.3789	 5.82	0.02441
70 	-999.9	-999.9	-999.9	-999.9
