#Source SSTISAGE1C J052424.47-690651.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	8.5111	0.16469	13.327	0.021
0.4747 	8.9609	0.29725	14.159	0.036
0.547 	7.2311	0.18057	14.296	0.0271
0.802 	4.5121	0.10394	14.416	0.025
1.21 	2.5772	0.10463	14.477	0.045
1.59 	1.3549	0.10433	14.696	0.087
2.15 	1.3329	1.3329	14.248	14.248
3.6 	0.4247	0.0236	14.538	 0.06
4.5 	0.269	0.02311	14.561	0.093
5.8 	0.2509	0.02931	14.167	0.127
8 	0.306	0.02476	13.286	0.088
24 	9.188	0.304	7.231	0.07187
70 	-999.9	-999.9	-999.9	-999.9
