#Source SSTISAGE1C J052847.12-661414.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	18.85	0.6504	10.42	0.037
4.5 	33.89	1.009	 9.31	0.032
5.8 	50.31	0.8628	8.412	0.019
8 	61.43	0.7273	 7.53	0.013
24 	35.08	0.3806	5.776	0.02356
70 	-999.9	-999.9	-999.9	-999.9
