#Source SSTISAGE1C J054218.15-695249.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.059647	0.0068479	18.713	0.118
0.4747 	0.54948	0.016436	17.19	0.032
0.547 	2.097	0.056965	15.64	0.0291
0.802 	6.4207	0.46555	14.033	0.076
1.21 	10.441	0.22826	12.958	0.024
1.59 	13.903	0.31646	12.168	0.025
2.15 	11.241	0.29627	11.933	0.029
3.6 	11.72	0.4166	10.936	0.039
4.5 	14.97	0.6385	10.197	0.046
5.8 	18.78	0.5745	9.482	0.033
8 	29.35	0.5522	8.332	 0.02
24 	22.99	0.3141	6.201	0.02876
70 	-999.9	-999.9	-999.9	-999.9
