#Source SSTISAGE1C J052624.49-711111.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.5372	0.12365	14.01	 0.03
0.4747 	8.1875	0.21579	14.257	0.029
0.547 	11.674	0.31919	13.776	0.0301
0.802 	12.178	0.36458	13.338	0.033
1.21 	9.7531	0.23078	13.032	0.026
1.59 	7.5492	0.14461	12.831	0.021
2.15 	8.0463	0.19763	12.296	0.027
3.6 	5.065	0.2228	11.847	0.048
4.5 	6.198	0.2201	11.155	0.039
5.8 	-999.9	-999.9	99.999	99.999
8 	8.875	0.1644	 9.63	 0.02
24 	2.711	0.07691	8.556	0.03081
70 	-999.9	-999.9	-999.9	-999.9
