#Source SSTISAGE1C J051845.23-700534.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.016113	0.0025241	20.134	0.158
0.4747 	0.085733	0.0050382	19.207	0.062
0.547 	0.38477	0.018171	17.481	0.0501
0.802 	1.4534	0.12998	15.646	0.093
1.21 	 2.12	0.078565	14.689	0.041
1.59 	2.0375	0.095284	14.253	0.052
2.15 	1.7234	0.098654	13.969	0.064
3.6 	2.489	0.09228	12.618	 0.04
4.5 	4.483	0.1918	11.506	0.046
5.8 	19.89	0.566	9.419	0.031
8 	91.43	1.409	7.098	0.017
24 	  286	2.152	3.498	0.01634
70 	117.8	 5.27	 2.05	0.09721
