#Source SSTISAGE1C J050535.20-685928.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	19.036	0.1754	12.453	 0.01
0.4747 	18.808	0.1733	13.354	 0.01
0.547 	17.507	0.16292	13.336	0.0101
0.802 	11.513	0.48797	13.399	0.046
1.21 	7.4669	0.31634	13.322	0.047
1.59 	5.0617	0.25446	13.265	0.056
2.15 	3.4673	0.19547	13.21	0.063
3.6 	 1.97	0.07705	12.872	0.042
4.5 	1.548	0.07921	12.661	0.056
5.8 	1.146	0.05772	12.518	0.055
8 	1.332	0.04586	11.69	0.037
24 	4.662	0.09689	7.967	0.04514
70 	-999.9	-999.9	-999.9	-999.9
