#Source SSTISAGE1C J045140.75-674456.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.21338	0.0063825	18.217	0.032
0.547 	0.10834	0.014911	18.857	 0.14
0.802 	99.999	99.999	99.999	99.999
1.21 	2.6912	0.10926	14.43	0.045
1.59 	2.2177	0.1173	14.161	0.059
2.15 	1.5995	0.10125	14.05	0.071
3.6 	1.064	0.04048	13.541	0.041
4.5 	0.8843	0.04337	13.269	0.053
5.8 	3.441	0.1233	11.324	0.039
8 	26.09	0.5303	8.459	0.022
24 	129.9	0.8943	4.355	0.01495
70 	51.69	2.176	2.944	0.09145
