#Source SSTISAGE1C J053427.82-660855.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.045961	0.0030157	18.996	0.069
0.4747 	0.26592	0.0059435	17.978	0.024
0.547 	0.73996	0.018003	16.771	0.0261
0.802 	1.6143	0.043699	15.532	0.029
1.21 	2.4341	0.075044	14.539	0.034
1.59 	2.8517	0.13085	13.888	0.051
2.15 	2.3529	0.099679	13.631	0.047
3.6 	2.085	0.07009	12.81	0.037
4.5 	2.345	0.1276	12.21	0.059
5.8 	 3.01	0.1009	11.469	0.036
8 	5.039	0.2007	10.245	0.043
24 	4.607	0.09161	7.998	0.0439
70 	-999.9	-999.9	-999.9	-999.9
