#Source SSTISAGE1C J051203.90-691620.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	-999.9	-999.9	99.999	99.999
1.59 	1.0892	0.1004	14.933	0.105
2.15 	4.8618	0.15856	12.843	0.036
3.6 	38.18	1.146	9.654	0.033
4.5 	68.92	3.016	8.539	0.048
5.8 	120.4	2.826	7.464	0.025
8 	161.7	4.262	6.479	0.029
24 	 82.9	0.7727	4.922	0.02179
70 	-999.9	-999.9	-999.9	-999.9
