#Source SSTISAGE1C J052834.17-715558.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.31016	0.010115	16.923	0.036
0.4747 	0.61426	0.028726	17.069	0.052
0.547 	0.65164	0.016649	16.909	0.0281
0.802 	0.6143	0.01839	16.581	0.033
1.21 	0.54393	0.055117	16.166	0.116
1.59 	0.74662	0.08972	15.343	0.139
2.15 	1.9806	0.10821	13.818	0.061
3.6 	7.847	0.2325	11.371	0.032
4.5 	12.81	0.5922	10.366	 0.05
5.8 	25.08	0.9341	9.167	 0.04
8 	55.67	1.076	7.637	0.021
24 	117.1	0.7615	4.467	0.01412
70 	 75.5	2.056	2.533	0.05915
