#Source SSTISAGE1C J051151.95-691556.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.195	0.29121	13.131	0.031
0.4747 	9.0521	0.31696	14.148	0.038
0.547 	8.7661	0.20274	14.087	0.0251
0.802 	6.8926	0.24134	13.956	0.038
1.21 	3.826	0.090532	14.048	0.026
1.59 	2.8412	0.10529	13.892	0.041
2.15 	2.3572	0.11437	13.629	0.054
3.6 	1.398	0.05963	13.245	0.046
4.5 	1.064	0.07096	13.067	0.072
5.8 	0.8605	0.04947	12.829	0.062
8 	0.6383	0.0326	12.488	0.055
24 	1.294	0.0929	 8.99	0.1111
70 	-999.9	-999.9	-999.9	-999.9
