#Source SSTISAGE1C J051354.98-690435.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.2375	1.2471	13.503	0.187
0.4747 	7.4533	0.24724	14.359	0.036
0.547 	5.8077	0.19854	14.534	0.0371
0.802 	3.0902	0.11105	14.827	0.039
1.21 	1.7962	0.10438	14.869	0.065
1.59 	0.93907	0.10212	15.094	0.125
2.15 	0.58183	0.10011	15.148	0.205
3.6 	0.2579	0.009863	15.08	0.042
4.5 	0.1774	0.01042	15.013	0.064
5.8 	-999.9	-999.9	99.999	99.999
8 	0.3367	0.01833	13.183	0.059
24 	 17.4	0.2647	6.686	0.03789
70 	-999.9	-999.9	-999.9	-999.9
