#Source SSTISAGE1C J052633.88-690733.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.010944	0.0016549	20.554	0.178
0.4747 	0.16246	0.0058764	18.513	 0.04
0.547 	0.30284	0.0088223	17.741	0.0321
0.802 	5.6647	0.13913	14.169	0.027
1.21 	3.3354	0.072919	14.197	0.024
1.59 	5.3493	0.14578	13.205	 0.03
2.15 	9.9815	0.20922	12.062	0.023
3.6 	44.42	2.145	9.489	0.052
4.5 	54.08	2.571	8.802	0.052
5.8 	65.46	1.518	8.126	0.025
8 	62.06	0.7273	7.519	0.013
24 	17.78	0.2622	6.514	0.016015
70 	-999.9	-999.9	-999.9	-999.9
