#Source SSTISAGE1C J053828.34-655819.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.019107	0.0022525	19.949	0.121
0.4747 	0.23332	0.0063159	18.12	0.029
0.547 	0.98176	0.034127	16.464	0.0371
0.802 	3.1621	0.07962	14.802	0.027
1.21 	6.975	0.15249	13.396	0.024
1.59 	9.6006	0.20989	12.57	0.024
2.15 	8.4022	0.19882	12.249	0.026
3.6 	 5.74	0.2152	11.711	0.041
4.5 	 4.95	0.1712	11.399	0.038
5.8 	 5.34	0.1842	10.847	0.037
8 	9.369	0.1953	9.571	0.023
24 	7.277	0.2634	7.423	0.07432
70 	-999.9	-999.9	-999.9	-999.9
