#Source SSTISAGE1C J055311.99-701522.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.013829	0.0023961	 20.3	0.188
0.4747 	0.03617	0.0022001	20.144	0.066
0.547 	0.023142	0.0022417	20.533	0.1051
0.802 	0.049703	0.021346	19.311	0.466
1.21 	0.38864	0.049836	16.531	0.149
1.59 	0.37523	0.068824	16.09	 0.22
2.15 	0.60311	0.07879	15.109	0.152
3.6 	2.273	0.09219	12.717	0.044
4.5 	3.182	0.1758	11.878	 0.06
5.8 	 12.8	0.4103	9.898	0.035
8 	55.04	0.9839	7.649	0.019
24 	453.1	2.229	2.998	0.01068
70 	97.54	2.697	2.255	0.06006
