#Source SSTISAGE1C J053923.42-693544.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.6006	0.14753	13.603	0.024
0.4747 	17.846	0.51689	13.411	0.031
0.547 	30.705	1.8374	12.726	0.0631
0.802 	55.819	4.9922	11.685	0.093
1.21 	50.529	1.1047	11.246	0.024
1.59 	47.896	1.1764	10.825	0.027
2.15 	33.573	0.82461	10.745	0.027
3.6 	15.02	 1.14	10.667	0.082
4.5 	9.775	0.7519	10.66	0.084
5.8 	6.499	0.5133	10.634	0.086
8 	5.153	0.4561	10.22	0.096
24 	16.24	0.4656	6.613	0.06229
70 	-999.9	-999.9	-999.9	-999.9
