#Source SSTISAGE1C J050558.69-693953.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.3452	0.044625	15.33	0.036
0.4747 	0.72102	0.028571	16.895	0.043
0.547 	0.62865	0.030182	16.948	0.0521
0.802 	0.56647	0.027145	16.669	0.052
1.21 	0.54846	0.059644	16.157	0.125
1.59 	0.56377	0.078591	15.648	0.163
2.15 	0.93669	0.092586	14.631	0.113
3.6 	2.492	0.1935	12.617	0.084
4.5 	3.022	0.1323	11.934	0.048
5.8 	8.729	0.2237	10.313	0.028
8 	24.65	0.3215	8.521	0.014
24 	82.47	0.8527	4.851	0.02252
70 	56.25	2.368	2.852	0.09146
