#Source SSTISAGE1C J052353.83-681827.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.0925	0.7542	14.122	  0.2
0.4747 	5.2668	0.16986	14.736	0.035
0.547 	4.9159	0.09558	14.715	0.0211
0.802 	3.8193	0.25691	14.597	0.073
1.21 	2.4931	0.099015	14.513	0.044
1.59 	1.7073	0.10069	14.445	0.066
2.15 	1.1492	0.098217	14.409	0.097
3.6 	0.731	0.03069	13.948	0.046
4.5 	0.5476	0.03249	13.789	0.064
5.8 	0.4952	0.03052	13.429	0.067
8 	0.4307	0.02793	12.915	 0.07
24 	1.194	0.195	9.441	0.3559
70 	-999.9	-999.9	-999.9	-999.9
