#Source SSTISAGE1C J054440.11-691149.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.010754	0.0023793	20.573	0.217
0.4747 	0.18161	0.0087345	18.392	0.051
0.547 	0.83254	0.027354	16.643	0.0351
0.802 	4.7335	0.17764	14.364	 0.04
1.21 	9.5311	0.27681	13.057	0.032
1.59 	14.135	0.4484	12.15	0.035
2.15 	11.481	0.30261	11.91	0.029
3.6 	5.855	0.126	11.689	0.023
4.5 	3.595	0.1546	11.746	0.047
5.8 	2.865	0.08453	11.523	0.032
8 	4.712	0.1033	10.317	0.024
24 	7.326	0.1367	7.477	0.04053
70 	-999.9	-999.9	-999.9	-999.9
