#Source SSTISAGE1C J053150.98-691146.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.295	0.25898	14.75	 0.13
0.4747 	5.0577	0.13784	14.78	 0.03
0.547 	7.2045	0.2606	 14.3	 0.04
0.802 	7.5298	 0.27	13.86	 0.04
1.21 	9.077	0.24737	13.11	 0.03
1.59 	7.2161	0.19666	12.88	 0.03
2.15 	6.2517	0.17038	12.57	 0.03
3.6 	10.96	 0.35	11.01	 0.03
4.5 	19.93	 0.74	 9.89	 0.04
5.8 	33.31	 0.89	 8.86	 0.03
8 	63.19	 1.24	  7.5	 0.02
24 	83.65	 0.62	 4.83	 0.02
70 	-999.9	-999.9	-999.9	-999.9
