#Source SSTISAGE1C J054145.46-690951.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.2804	0.75809	13.657	0.131
0.4747 	7.1441	0.25015	14.405	0.038
0.547 	6.7859	0.13194	14.365	0.0211
0.802 	4.9202	0.10881	14.322	0.024
1.21 	2.9563	0.07261	14.328	0.027
1.59 	1.9262	0.095145	14.314	0.055
2.15 	1.1749	0.10041	14.385	0.097
3.6 	0.627	0.03524	14.115	0.061
4.5 	0.4742	0.04555	13.945	0.104
5.8 	0.4411	0.045	13.554	0.111
8 	1.105	0.05162	11.892	0.051
24 	17.15	0.6599	6.553	0.08359
70 	-999.9	-999.9	-999.9	-999.9
