#Source SSTISAGE1C J051321.25-653914.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.5388	0.04457	15.184	0.031
0.4747 	1.9877	0.078397	15.794	0.042
0.547 	1.8915	0.047806	15.752	0.0271
0.802 	1.8146	0.073309	15.405	0.043
1.21 	1.4533	0.059001	15.099	0.045
1.59 	1.7215	0.10302	14.436	0.067
2.15 	3.0988	0.12307	13.332	0.044
3.6 	7.444	0.2149	11.429	0.031
4.5 	8.537	0.414	10.807	0.053
5.8 	8.899	0.3082	10.293	0.038
8 	10.75	0.2794	9.422	0.028
24 	9.366	0.1763	 7.21	0.04088
70 	-999.9	-999.9	-999.9	-999.9
