#Source SSTISAGE1C J054647.70-703813.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.076769	0.0071407	18.439	0.106
0.4747 	0.27794	0.014215	17.93	0.057
0.547 	0.92898	0.03286	16.524	0.0391
0.802 	3.6139	0.12751	14.657	0.039
1.21 	13.513	0.29542	12.678	0.024
1.59 	13.524	0.34431	12.198	0.028
2.15 	13.791	0.33872	11.711	0.027
3.6 	22.04	0.6127	10.25	 0.03
4.5 	27.39	1.204	9.541	0.048
5.8 	33.31	0.8763	8.859	0.029
8 	34.67	0.7506	8.151	0.024
24 	7.945	0.2164	7.461	0.03163
70 	-999.9	-999.9	-999.9	-999.9
