#Source SSTISAGE1C J052519.48-705409.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.54549	0.018276	16.31	0.037
0.4747 	2.7287	0.086559	15.45	0.035
0.547 	3.8762	0.074602	14.973	0.0211
0.802 	5.1331	0.14381	14.276	 0.03
1.21 	3.2624	0.088911	14.221	 0.03
1.59 	3.0109	0.10356	13.829	0.038
2.15 	2.7567	0.10948	13.459	0.044
3.6 	 13.1	0.5061	10.815	0.042
4.5 	16.45	0.8847	10.095	0.058
5.8 	19.16	0.5518	 9.46	0.031
8 	 23.1	0.6271	8.592	0.029
24 	16.15	0.2396	6.618	0.03222
70 	-999.9	-999.9	-999.9	-999.9
