#Source SSTISAGE1C J055122.52-695351.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.81806	0.036191	15.87	0.047
0.4747 	2.4008	0.0514	15.589	0.023
0.547 	3.2629	0.15724	15.16	0.0511
0.802 	6.5642	0.23382	14.009	0.038
1.21 	5.1897	0.11346	13.717	0.024
1.59 	4.825	0.14876	13.317	0.034
2.15 	3.8406	0.13209	13.099	0.038
3.6 	5.729	0.1937	11.713	0.037
4.5 	9.038	0.452	10.745	0.054
5.8 	 14.1	0.4232	9.792	0.033
8 	27.24	0.5181	8.413	0.021
24 	29.11	0.3522	5.974	0.02616
70 	-999.9	-999.9	-999.9	-999.9
