#Source SSTISAGE1C J053047.56-694651.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.20718	0.014205	18.249	0.072
0.547 	0.85508	0.039474	16.614	0.049
0.802 	99.999	99.999	99.999	99.999
1.21 	5.2862	0.1108	13.697	0.023
1.59 	7.7108	0.20323	12.808	0.029
2.15 	5.6963	0.1807	12.671	0.035
3.6 	2.959	0.07324	12.43	0.027
4.5 	1.739	0.06497	12.534	0.041
5.8 	 1.27	0.05202	12.406	0.044
8 	1.293	0.04231	11.722	0.036
24 	1.477	0.0657	9.215	0.09664
70 	-999.9	-999.9	-999.9	-999.9
