#Source SSTISAGE1C J053017.49-685926.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.943	0.15511	13.402	0.021
0.4747 	8.3397	0.1864	14.237	0.024
0.547 	6.7984	0.18468	14.363	0.0291
0.802 	5.6025	0.13578	14.181	0.026
1.21 	2.9946	0.097665	14.314	0.036
1.59 	1.712	0.096511	14.442	0.063
2.15 	1.0804	0.089606	14.476	0.094
3.6 	0.688	0.03824	14.014	 0.06
4.5 	0.5447	0.0327	13.795	0.065
5.8 	0.3692	0.03802	13.748	0.112
8 	0.3849	0.02812	13.037	0.079
24 	4.708	0.2009	7.957	0.09272
70 	-999.9	-999.9	-999.9	-999.9
