#Source SSTISAGE1C J053911.60-693125.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.7205	0.1371	13.967	0.032
0.4747 	4.3929	0.11972	14.933	 0.03
0.547 	4.9843	0.34167	 14.7	0.0771
0.802 	2.2469	0.081272	15.173	 0.04
1.21 	1.1672	0.057654	15.337	0.055
1.59 	0.85961	0.076358	15.19	0.101
2.15 	0.37635	0.084748	15.621	0.277
3.6 	 0.25	0.02176	15.113	0.095
4.5 	0.212	0.0334	14.819	0.171
5.8 	0.4758	0.05554	13.472	0.127
8 	1.624	0.1398	11.474	0.093
24 	 56.4	1.157	5.261	0.04453
70 	-999.9	-999.9	-999.9	-999.9
