#Source SSTISAGE1C J052131.78-682058.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.5104	0.42681	13.799	0.081
0.4747 	5.4695	0.20526	14.695	 0.04
0.547 	4.8799	0.1418	14.723	0.0311
0.802 	3.634	1.0778	14.651	0.282
1.21 	2.1976	0.071671	14.65	0.036
1.59 	1.4585	0.094838	14.616	0.073
2.15 	1.2741	0.093768	14.297	0.083
3.6 	0.7287	0.03988	13.952	0.059
4.5 	0.5792	0.05059	13.728	0.095
5.8 	0.5166	0.04938	13.383	0.104
8 	0.4379	0.02834	12.897	 0.07
24 	2.859	0.132	8.498	0.1003
70 	-999.9	-999.9	-999.9	-999.9
