#Source SSTISAGE1C J051342.61-672410.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	11.836	0.35399	12.969	0.032
0.4747 	13.06	0.34119	13.75	0.028
0.547 	15.733	0.5769	13.452	0.0391
0.802 	14.982	0.57657	13.113	0.041
1.21 	10.734	0.29252	12.928	 0.03
1.59 	7.4662	0.2435	12.843	0.036
2.15 	5.613	0.20801	12.687	0.041
3.6 	1.767	0.07835	12.99	0.048
4.5 	1.202	0.07216	12.935	0.065
5.8 	0.8277	0.06934	12.871	0.091
8 	0.6867	0.05797	12.409	0.092
24 	40.26	0.9213	5.627	0.0497
70 	236.7	11.26	1.292	0.1034
