#Source SSTISAGE1C J055521.04-700002.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	25.583	0.55929	11.985	0.024
1.59 	 74.8	1.5004	10.341	0.022
2.15 	  149	2.5848	9.127	0.019
3.6 	175.1	6.148	    8	0.038
4.5 	  190	9.437	7.438	0.054
5.8 	206.3	4.852	 6.88	0.026
8 	341.2	8.651	5.668	0.028
24 	497.6	2.756	2.897	0.01203
70 	-999.9	-999.9	-999.9	-999.9
