#Source SSTISAGE1C J045543.21-675109.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.32	 0.02	16.88	 0.07
0.4747 	 1.57	 0.04	16.05	 0.03
0.547 	 3.77	 0.06	   15	 0.02
0.802 	 7.12	 0.24	13.92	 0.04
1.21 	8.9938	0.24511	13.12	 0.03
1.59 	8.4392	0.30525	12.71	 0.04
2.15 	6.6069	0.23898	12.51	 0.04
3.6 	 3.21	 0.37	12.34	 0.12
4.5 	 2.86	 0.55	   12	 0.21
5.8 	 2.46	  0.1	11.69	 0.04
8 	 2.83	 0.09	10.87	 0.04
24 	 2.88	 0.08	 8.47	 0.06
70 	-999.9	-999.9	-999.9	-999.9
