#Source SSTISAGE1C J054902.79-700230.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	63.736	5.5787	11.141	0.095
0.4747 	55.764	3.2369	12.174	0.063
0.547 	65.465	10.863	11.904	0.1801
0.802 	57.383	13.588	11.655	0.257
1.21 	35.216	0.8333	11.638	0.026
1.59 	23.807	0.6488	11.584	 0.03
2.15 	16.504	0.31615	11.516	0.021
3.6 	7.835	0.391	11.373	0.054
4.5 	5.058	0.3348	11.375	0.072
5.8 	 3.58	0.1598	11.281	0.048
8 	1.925	0.08811	11.289	 0.05
24 	7.172	0.1426	  7.5	0.04319
70 	-999.9	-999.9	-999.9	-999.9
