#Source SSTISAGE1C J051352.94-672654.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	45.414	0.84469	11.509	 0.02
0.4747 	62.395	3.0611	12.052	0.052
0.547 	78.924	2.5181	11.701	0.0341
0.802 	109.64	4.1161	10.952	 0.04
1.21 	113.23	2.2712	10.37	0.022
1.59 	128.8	2.9317	9.751	0.025
2.15 	274.91	5.2662	8.462	0.021
3.6 	878.8	31.59	6.248	0.039
4.5 	 1077	53.15	5.555	0.054
5.8 	 1215	42.93	4.955	0.038
8 	 1172	27.82	4.328	0.026
24 	412.9	3.012	3.099	0.01584
70 	-999.9	-999.9	-999.9	-999.9
