#Source SSTISAGE1C J050832.25-650814.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	23.224	0.54954	12.09	0.026
1.59 	39.948	0.76525	11.022	0.021
2.15 	46.601	0.89268	10.389	0.021
3.6 	35.43	0.7663	9.735	0.023
4.5 	18.21	0.5279	9.984	0.031
5.8 	12.21	0.2758	9.949	0.025
8 	11.51	0.2144	9.348	 0.02
24 	1.373	0.05172	9.294	0.08182
70 	-999.9	-999.9	-999.9	-999.9
