#Source SSTISAGE1C J053556.88-690044.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.077479	0.0066187	18.429	0.089
0.4747 	0.13012	0.0035224	18.754	0.029
0.547 	0.19249	0.036622	18.233	0.1891
0.802 	0.46002	0.01376	16.895	0.032
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	5.9374	0.24105	12.626	0.045
3.6 	24.56	0.7819	10.132	0.035
4.5 	37.67	1.318	9.195	0.038
5.8 	49.96	1.424	8.419	0.031
8 	71.03	 1.18	7.372	0.018
24 	62.17	0.5922	5.155	0.02069
70 	-999.9	-999.9	-999.9	-999.9
