#Source SSTISAGE1C J052902.38-661527.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.0059642	0.0012478	22.101	0.227
0.547 	0.010337	0.0012491	21.408	0.1311
0.802 	0.30143	0.013611	17.354	0.049
1.21 	1.9658	0.11423	14.771	0.065
1.59 	3.6602	0.22221	13.617	0.068
2.15 	4.1228	0.16374	13.022	0.044
3.6 	 4.79	0.1641	11.907	0.037
4.5 	5.615	0.2535	11.262	0.049
5.8 	18.04	0.3527	9.525	0.021
8 	 77.7	1.025	7.275	0.014
24 	328.8	1.853	3.347	0.01224
70 	74.85	4.493	2.542	0.1305
