#Source SSTISAGE1C J050222.77-701831.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.03056	0.0036615	20.327	 0.13
0.547 	0.12918	0.016084	18.666	0.1351
0.802 	0.45497	0.076307	16.907	0.182
1.21 	0.71506	0.08069	15.869	 0.13
1.59 	0.90012	0.1219	15.14	0.158
2.15 	1.2647	0.10168	14.305	0.091
3.6 	0.8473	0.1125	13.788	0.144
4.5 	0.7288	0.05353	13.479	 0.08
5.8 	1.145	0.06968	12.519	0.066
8 	8.188	0.167	9.718	0.022
24 	47.69	0.919	5.199	0.03345
70 	  728	9.816	0.07208	0.02928
