#Source SSTISAGE1C J055342.43-665242.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.3837	0.0347	16.692	0.094
0.4747 	1.0222	0.099656	16.516	0.101
0.547 	2.9404	0.46405	15.273	0.1591
0.802 	4.3811	0.64907	14.448	 0.15
1.21 	3.4958	0.17573	14.146	0.056
1.59 	4.6164	0.21588	13.365	0.052
2.15 	4.9249	0.21298	12.829	0.048
3.6 	6.499	0.4702	11.576	0.079
4.5 	8.325	0.4481	10.834	0.058
5.8 	17.53	0.4101	9.557	0.025
8 	48.17	0.5707	7.794	0.013
24 	291.9	1.812	3.471	0.01342
70 	 1315	14.89	-0.5698	0.02458
