#Source SSTISAGE1C J053213.30-695557.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.021976	0.0030112	20.685	 0.16
0.547 	0.065284	0.010883	19.407	0.198
0.802 	99.999	99.999	99.999	99.999
1.21 	 3.36	0.19525	14.189	0.065
1.59 	4.7808	0.2861	13.327	0.067
2.15 	7.413	0.30751	12.385	0.046
3.6 	22.14	0.6115	10.245	 0.03
4.5 	26.28	0.8989	9.586	0.037
5.8 	31.04	0.6838	8.936	0.024
8 	31.18	0.4883	8.266	0.017
24 	7.982	0.1485	7.384	0.0202
70 	-999.9	-999.9	-999.9	-999.9
