#Source SSTISAGE1C J052848.15-710229.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	10.11	0.22102	12.993	0.024
1.59 	34.316	0.84285	11.187	0.027
2.15 	74.679	1.4305	9.877	0.021
3.6 	  178	6.289	7.982	0.038
4.5 	150.8	7.059	7.689	0.051
5.8 	148.1	3.354	7.239	0.025
8 	240.3	5.585	6.049	0.025
24 	295.6	2.635	3.465	0.01941
70 	-999.9	-999.9	-999.9	-999.9
