#Source SSTISAGE1C J051848.86-700246.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.060812	0.0054385	18.692	0.093
0.4747 	0.57431	0.030399	17.142	0.056
0.547 	2.5469	0.13753	15.429	0.0571
0.802 	7.5854	0.49028	13.852	0.068
1.21 	8.7326	0.19091	13.152	0.024
1.59 	8.4159	0.25195	12.713	0.033
2.15 	6.2632	0.1875	12.568	0.033
3.6 	3.109	0.1253	12.377	0.044
4.5 	2.984	0.1305	11.948	0.047
5.8 	5.138	0.192	10.889	0.041
8 	24.75	0.4024	8.517	0.018
24 	150.2	0.8369	4.197	0.0121
70 	-999.9	-999.9	-999.9	-999.9
