#Source SSTISAGE1C J052019.40-691115.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	31.303	0.28842	11.913	 0.01
0.4747 	26.69	0.24592	12.974	 0.01
0.547 	21.048	0.19588	13.136	0.0101
0.802 	12.519	0.59985	13.308	0.052
1.21 	6.8793	0.16896	13.411	0.027
1.59 	4.043	0.16057	13.509	0.044
2.15 	2.4434	0.10997	13.59	 0.05
3.6 	1.139	0.0529	13.467	 0.05
4.5 	0.7084	0.04442	13.51	0.068
5.8 	0.4903	0.0406	13.44	 0.09
8 	0.4013	0.03358	12.992	0.091
24 	10.48	0.1917	7.088	0.03971
70 	-999.9	-999.9	-999.9	-999.9
