#Source SSTISAGE1C J052457.86-672458.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.3542	0.10351	14.338	0.033
0.4747 	5.0857	0.066002	14.774	0.014
0.547 	5.1145	0.25635	14.672	0.0531
0.802 	4.8571	0.14529	14.336	0.032
1.21 	4.3206	0.11775	13.916	 0.03
1.59 	5.0153	0.12769	13.275	0.028
2.15 	6.5886	0.17956	12.513	 0.03
3.6 	11.62	0.4076	10.946	0.038
4.5 	12.21	0.5145	10.418	0.046
5.8 	12.06	0.3753	9.962	0.034
8 	12.01	0.2888	9.302	0.026
24 	6.198	0.138	7.706	0.0505
70 	-999.9	-999.9	-999.9	-999.9
