#Source SSTISAGE1C J054712.96-704416.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.0042029	0.0018164	22.481	 0.39
0.547 	0.010725	0.0020053	21.368	0.1861
0.802 	0.035775	0.0029846	19.668	0.087
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	5.014	0.1865	11.858	 0.04
4.5 	9.469	0.3906	10.694	0.045
5.8 	28.76	0.9851	9.019	0.037
8 	89.21	1.561	7.125	0.019
24 	363.9	 2.29	3.236	0.01367
70 	181.3	 3.25	1.581	0.03893
