#Source SSTISAGE1C J054008.42-711102.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.985	0.33401	13.05	0.033
0.4747 	10.843	0.28974	13.952	0.029
0.547 	9.4017	0.19145	14.011	0.0221
0.802 	5.8719	0.16773	14.13	0.031
1.21 	3.1358	0.14389	14.264	0.051
1.59 	2.0545	0.11224	14.244	0.061
2.15 	1.2601	0.11404	14.309	0.103
3.6 	0.5347	0.03443	14.288	 0.07
4.5 	0.382	0.0513	14.18	0.146
5.8 	0.3247	0.03479	13.887	0.116
8 	0.4302	0.03206	12.916	0.081
24 	5.265	0.1155	7.835	0.04765
70 	-999.9	-999.9	-999.9	-999.9
