#Source SSTISAGE1C J052545.61-661652.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.4355	0.12893	14.312	 0.04
0.4747 	3.5412	0.055883	15.167	0.017
0.547 	3.4706	0.20768	15.093	0.0631
0.802 	2.8131	0.22069	14.929	0.082
1.21 	2.3504	0.070364	14.577	0.033
1.59 	1.7231	0.068432	14.435	0.044
2.15 	1.6672	0.092538	14.005	0.062
3.6 	0.9781	0.05277	13.632	0.059
4.5 	0.8068	0.05165	13.368	 0.07
5.8 	0.5957	0.05186	13.228	0.095
8 	0.5657	0.04562	12.619	0.088
24 	3.306	0.1055	8.341	0.06931
70 	-999.9	-999.9	-999.9	-999.9
