#Source SSTISAGE1C J054310.85-672727.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.061487	0.0057462	18.68	0.097
0.4747 	0.71639	0.016687	16.902	0.025
0.547 	3.4073	0.054088	15.113	0.0171
0.802 	15.53	1.5455	13.074	0.103
1.21 	27.589	0.60317	11.903	0.024
1.59 	40.096	0.76807	11.018	0.021
2.15 	31.361	0.65737	10.819	0.023
3.6 	18.26	0.493	10.455	0.029
4.5 	16.09	0.6025	10.119	0.041
5.8 	18.24	0.4476	9.513	0.027
8 	48.38	0.9564	7.789	0.021
24 	131.1	0.8089	4.344	0.0134
70 	-999.9	-999.9	-999.9	-999.9
