#Source SSTISAGE1C J053906.85-690016.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.0737	0.10135	14.127	0.027
0.4747 	4.3167	0.059665	14.952	0.015
0.547 	3.5975	0.073262	15.054	0.0221
0.802 	2.1596	0.063682	15.216	0.032
1.21 	1.1661	0.076831	15.338	0.074
1.59 	0.74593	0.097448	15.344	0.152
2.15 	0.33635	0.33635	15.743	15.743
3.6 	0.1978	0.01339	15.368	0.074
4.5 	0.1279	0.0182	15.368	0.154
5.8 	-999.9	-999.9	99.999	99.999
8 	0.3511	0.03305	13.137	0.102
24 	15.45	 0.24	6.667	0.03375
70 	-999.9	-999.9	-999.9	-999.9
