#Source SSTISAGE1C J052438.75-672555.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	9.9446	0.27862	13.158	 0.03
0.4747 	11.715	0.48452	13.868	0.044
0.547 	8.9373	0.14187	14.066	0.0171
0.802 	6.6678	0.21845	13.992	0.035
1.21 	4.3166	0.11377	13.917	0.029
1.59 	2.9806	0.091891	13.84	0.034
2.15 	2.3377	0.10522	13.638	 0.05
3.6 	1.572	0.05629	13.117	0.039
4.5 	1.157	0.06764	12.977	0.063
5.8 	0.9034	0.05881	12.776	0.071
8 	0.6512	0.03956	12.466	0.066
24 	3.696	0.07711	8.219	0.04531
70 	-999.9	-999.9	-999.9	-999.9
