#Source SSTISAGE1C J054612.00-675525.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.5632	0.075581	14.63	0.032
0.4747 	7.2102	0.19267	14.395	0.029
0.547 	8.8635	0.21316	14.075	0.0261
0.802 	7.9943	0.27992	13.795	0.038
1.21 	7.5014	0.18424	13.317	0.027
1.59 	5.545	0.16104	13.166	0.032
2.15 	3.8406	0.12183	13.099	0.035
3.6 	1.769	0.06645	12.989	0.041
4.5 	1.193	0.09369	12.943	0.085
5.8 	0.6706	0.04704	 13.1	0.076
8 	0.6207	0.05073	12.518	0.089
24 	1.423	0.05341	9.256	0.08156
70 	-999.9	-999.9	-999.9	-999.9
