#Source SSTISAGE1C J051936.91-690208.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.011587	0.0027736	20.492	0.233
0.4747 	0.16231	0.008434	18.514	0.055
0.547 	0.75929	0.034394	16.743	0.0481
0.802 	2.1261	0.083855	15.233	0.042
1.21 	4.1147	0.097365	13.969	0.026
1.59 	5.6794	0.14459	13.14	0.028
2.15 	4.3772	0.11537	12.957	0.029
3.6 	2.289	0.07987	12.709	0.038
4.5 	1.274	0.08151	12.872	0.069
5.8 	0.8488	0.05434	12.844	 0.07
8 	0.4899	0.02997	12.775	0.066
24 	8.613	0.1249	7.301	0.03149
70 	-999.9	-999.9	-999.9	-999.9
