#Source SSTISAGE1C J045129.03-685749.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	170.27	3.2617	9.927	0.021
1.59 	365.34	7.3283	8.619	0.022
2.15 	455.4	6.2484	7.914	0.015
3.6 	312.8	11.56	 7.37	 0.04
4.5 	279.1	10.99	7.021	0.043
5.8 	281.3	5.709	6.543	0.022
8 	405.1	8.251	5.482	0.022
24 	394.9	2.157	3.147	0.01186
70 	-999.9	-999.9	-999.9	-999.9
