#Source SSTISAGE1C J055300.96-670435.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.09003	0.0068035	18.266	0.082
0.4747 	0.67663	0.019953	16.964	0.032
0.547 	2.1878	0.086891	15.594	0.0431
0.802 	4.8571	0.19245	14.336	0.043
1.21 	7.2568	0.15865	13.353	0.024
1.59 	8.6437	0.2123	12.684	0.027
2.15 	6.4505	0.22759	12.536	0.039
3.6 	3.072	0.1652	12.389	0.058
4.5 	1.755	0.1014	12.525	0.063
5.8 	 1.17	0.07403	12.496	0.069
8 	0.698	0.04138	12.391	0.064
24 	1.353	0.05223	 9.31	0.08386
70 	-999.9	-999.9	-999.9	-999.9
