#Source SSTISAGE1C J053442.14-683838.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	8.3866	0.24728	13.343	0.032
0.4747 	8.0232	0.50272	14.279	0.068
0.547 	6.6559	0.24594	14.386	0.0401
0.802 	5.2141	0.17296	14.259	0.036
1.21 	3.4257	0.087215	14.168	0.028
1.59 	2.3372	0.072056	14.104	0.034
2.15 	1.8247	0.096511	13.907	0.059
3.6 	1.239	0.05486	13.375	0.048
4.5 	0.9254	0.06178	13.219	0.072
5.8 	0.7254	0.05085	13.014	0.076
8 	0.5452	0.03452	12.659	0.069
24 	1.071	0.05838	9.564	0.1185
70 	-999.9	-999.9	-999.9	-999.9
