#Source SSTISAGE1C J045729.34-661837.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.9824	0.046176	14.909	0.025
0.4747 	2.2385	0.060595	15.665	0.029
0.547 	2.0797	0.040812	15.649	0.0211
0.802 	2.3205	0.051866	15.138	0.024
1.21 	1.7376	0.064391	14.905	0.041
1.59 	2.2259	0.10018	14.157	 0.05
2.15 	4.8261	0.14448	12.851	0.033
3.6 	16.26	0.4849	10.58	0.032
4.5 	21.66	0.7031	9.796	0.035
5.8 	28.94	0.8649	9.012	0.032
8 	37.97	0.5835	8.052	0.017
24 	41.03	0.5845	5.606	0.03093
70 	-999.9	-999.9	-999.9	-999.9
