#Source SSTISAGE1C J053319.74-694144.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.027114	0.0027256	19.569	0.104
0.4747 	0.2331	0.021315	18.121	0.095
0.547 	0.79507	0.034485	16.693	0.0461
0.802 	99.999	99.999	99.999	99.999
1.21 	2.8863	0.10696	14.354	0.041
1.59 	3.4538	0.16455	13.68	0.053
2.15 	3.7428	0.14202	13.127	0.042
3.6 	31.91	0.6714	9.848	0.023
4.5 	85.44	4.543	8.306	0.058
5.8 	162.5	2.315	7.139	0.015
8 	239.6	6.082	6.052	0.028
24 	157.9	1.003	4.143	0.01379
70 	-999.9	-999.9	-999.9	-999.9
