#Source SSTISAGE1C J054606.53-671643.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.7914	0.14196	15.019	0.086
0.4747 	4.8702	0.13463	14.821	 0.03
0.547 	5.5361	0.12294	14.586	0.0241
0.802 	4.8482	0.33505	14.338	0.075
1.21 	3.8543	0.10504	14.04	 0.03
1.59 	2.654	0.11244	13.966	0.047
2.15 	2.0008	0.11105	13.807	0.062
3.6 	0.9243	0.0547	13.694	0.064
4.5 	0.6283	0.04041	13.64	 0.07
5.8 	0.4079	0.03691	13.639	0.098
8 	0.2596	0.01895	13.465	0.079
24 	 1.11	0.05781	9.526	0.1132
70 	-999.9	-999.9	-999.9	-999.9
