#Source SSTISAGE1C J053011.62-710559.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.7048	0.18534	13.586	 0.03
0.4747 	7.324	0.19571	14.378	0.029
0.547 	5.7175	0.11643	14.551	0.0221
0.802 	3.351	0.10808	14.739	0.035
1.21 	1.778	0.086269	14.88	0.054
1.59 	0.97342	0.10185	15.055	 0.12
2.15 	0.80019	0.10068	14.802	0.146
3.6 	0.2201	0.01229	15.252	0.061
4.5 	0.214	0.02148	14.809	0.109
5.8 	0.3424	0.0255	13.829	0.081
8 	1.018	0.05004	11.981	0.053
24 	13.35	0.4942	6.589	0.06468
70 	-999.9	-999.9	-999.9	-999.9
