#Source SSTISAGE1C J054257.98-695717.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	21.696	0.67968	12.311	0.034
0.4747 	32.595	2.5228	12.757	0.084
0.547 	 27.9	3.9101	12.83	0.1521
0.802 	23.877	 2.64	12.607	 0.12
1.21 	13.663	0.2987	12.666	0.024
1.59 	8.8695	0.22581	12.656	0.028
2.15 	5.6389	0.15368	12.682	 0.03
3.6 	2.473	0.07614	12.625	0.033
4.5 	 1.64	0.08938	12.598	0.059
5.8 	1.035	0.04281	12.629	0.045
8 	 0.51	0.04521	12.732	0.096
24 	1.474	0.09122	9.182	0.1302
70 	  125	 7.91	1.985	0.1376
