#Source SSTISAGE1C J052836.58-685829.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.083635	0.0055697	18.346	 0.07
0.4747 	0.38225	0.010348	17.584	0.029
0.547 	1.2463	0.035033	16.205	0.0301
0.802 	5.5002	0.13849	14.201	0.027
1.21 	10.269	0.27066	12.976	0.029
1.59 	14.666	0.39968	12.11	 0.03
2.15 	12.246	0.26773	11.84	0.024
3.6 	9.102	0.3676	11.21	0.044
4.5 	8.188	0.3543	10.852	0.047
5.8 	 8.76	0.2801	10.31	0.035
8 	16.53	0.3618	8.955	0.024
24 	17.96	0.2446	6.503	0.02958
70 	-999.9	-999.9	-999.9	-999.9
