#Source SSTISAGE1C J054414.97-673005.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.0924	0.15157	13.69	0.027
0.4747 	5.5354	0.14792	14.682	0.029
0.547 	6.1095	0.096267	14.479	0.0171
0.802 	4.1227	0.14816	14.514	0.039
1.21 	2.6445	0.086246	14.449	0.036
1.59 	1.739	0.10858	14.425	 0.07
2.15 	1.4723	0.11712	14.14	 0.09
3.6 	0.3074	0.01536	14.889	0.054
4.5 	0.2518	0.01952	14.633	0.084
5.8 	0.2343	0.02285	14.241	0.106
8 	0.2453	0.01776	13.526	0.079
24 	2.297	0.05527	8.736	0.05225
70 	-999.9	-999.9	-999.9	-999.9
