#Source SSTISAGE1C J044551.27-664826.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.2752	0.049354	15.388	0.042
0.4747 	3.056	0.076033	15.327	0.027
0.547 	5.2433	0.092282	14.645	0.0191
0.802 	7.3111	0.21557	13.892	0.032
1.21 	6.6061	0.17411	13.455	0.029
1.59 	5.6118	0.17802	13.153	0.035
2.15 	3.8583	0.1464	13.094	0.042
3.6 	1.726	0.06724	13.015	0.042
4.5 	1.134	0.1529	12.999	0.146
5.8 	0.7287	0.06171	13.01	0.092
8 	0.4199	0.0292	12.943	0.076
24 	 3.67	0.09348	8.227	0.05532
70 	51.58	2.969	2.946	0.1251
